username,email,full_name,time_to_submit_ms,label
normal0,normal0@hotmail.com,User 0,1191,0
student1,student1@outlook.com,User 1,1484,0
student2,student2@yahoo.com,User 2,754,0
wissal3,wissal3@gmail.com,User 3,649,0
user4,user4@hotmail.com,User 4,2540,0
wissal5,wissal5@gmail.com,User 5,1363,0
alpha6,alpha6@hotmail.com,User 6,1172,0
wissal7,wissal7@hotmail.com,User 7,507,0
user8,user8@spam.com,User 8,785,1
user9,user9@outlook.com,User 9,1787,0
spammer10,spammer10@example.com,User 10,1519,0
normal11,normal11@spam.com,User 11,2614,1
test12,test12@yahoo.com,User 12,1405,0
student13,student13@fraud.net,User 13,1263,1
gamma14,gamma14@hotmail.com,User 14,1640,0
gamma15,gamma15@hotmail.com,User 15,2546,0
beta16,beta16@outlook.com,User 16,475,0
wissal17,wissal17@gmail.com,User 17,1459,0
bot18,bot18@yahoo.com,User 18,1684,0
spammer19,spammer19@hotmail.com,User 19,2455,0
wissal20,wissal20@hotmail.com,User 20,1075,0
beta21,beta21@example.com,User 21,184,1
beta22,beta22@hotmail.com,User 22,2147,0
bot23,bot23@example.com,User 23,2590,0
gamma24,gamma24@tempmail.com,User 24,2582,1
test25,test25@fake.org,User 25,1435,1
normal26,normal26@example.com,User 26,160,1
beta27,beta27@spam.com,User 27,778,1
wissal28,wissal28@gmail.com,User 28,2470,0
beta29,beta29@hotmail.com,User 29,2292,0
test30,test30@example.com,User 30,761,0
spammer31,spammer31@hotmail.com,User 31,2305,0
alpha32,alpha32@yahoo.com,User 32,115,1
gamma33,gamma33@gmail.com,User 33,581,0
alpha34,alpha34@gmail.com,User 34,2350,0
alpha35,alpha35@gmail.com,User 35,1861,0
wissal36,wissal36@tempmail.com,User 36,2520,1
beta37,beta37@example.com,User 37,786,0
user38,user38@outlook.com,User 38,240,1
bot39,bot39@gmail.com,User 39,1049,0
normal40,normal40@gmail.com,User 40,663,0
gamma41,gamma41@outlook.com,User 41,2265,0
normal42,normal42@hotmail.com,User 42,317,1
normal43,normal43@outlook.com,User 43,1852,0
user44,user44@yahoo.com,User 44,1640,0
beta45,beta45@example.com,User 45,1405,0
student46,student46@example.com,User 46,715,0
beta47,beta47@yahoo.com,User 47,2505,0
beta48,beta48@outlook.com,User 48,1217,0
test49,test49@hotmail.com,User 49,761,0
wissal50,wissal50@tempmail.com,User 50,1472,1
